Kx,Ky,mpi_tasks,n_threads,time
10000,10000,1,64,7.52967
10000,10000,1,64,7.30434
10000,10000,1,64,7.40977
10000,10000,1,64,7.56231
10000,10000,1,64,7.40953
10000,10000,1,64,7.34819
10000,10000,1,64,7.35959
10000,10000,1,64,7.69854
10000,10000,1,64,7.90431
10000,10000,1,64,7.93896
10000,10000,2,64,5.86015
10000,10000,2,64,5.86262
10000,10000,2,64,4.11575
10000,10000,2,64,5.40442
10000,10000,2,64,3.82559
10000,10000,2,64,5.72219
10000,10000,2,64,6.00158
10000,10000,2,64,5.83184
10000,10000,2,64,5.13559
10000,10000,2,64,4.15482
10000,10000,3,64,2.56562
10000,10000,3,64,2.42485
10000,10000,3,64,2.61973
10000,10000,3,64,2.36887
10000,10000,3,64,2.48238
10000,10000,3,64,2.42548
10000,10000,3,64,2.66863
10000,10000,3,64,2.56126
10000,10000,3,64,2.41305
10000,10000,3,64,2.65487
10000,10000,4,64,1.41254
10000,10000,4,64,1.41792
10000,10000,4,64,1.41448
10000,10000,4,64,1.39322
10000,10000,4,64,1.40677
10000,10000,4,64,1.43887
10000,10000,4,64,1.55992
10000,10000,4,64,1.38564
10000,10000,4,64,1.436
10000,10000,4,64,1.44274
10000,10000,5,64,1.34452
10000,10000,5,64,1.25952
10000,10000,5,64,1.29327
10000,10000,5,64,1.26292
10000,10000,5,64,1.26533
10000,10000,5,64,1.447
10000,10000,5,64,1.30246
10000,10000,5,64,1.30945
10000,10000,5,64,1.27593
10000,10000,5,64,1.25338
10000,10000,6,64,1.05626
10000,10000,6,64,1.07892
10000,10000,6,64,1.05346
10000,10000,6,64,1.04965
10000,10000,6,64,1.12286
10000,10000,6,64,1.06109
10000,10000,6,64,1.04792
10000,10000,6,64,1.04553
10000,10000,6,64,1.04202
10000,10000,6,64,1.05297
15000,15000,1,64,25.189
15000,15000,1,64,25.115
15000,15000,1,64,25.232
15000,15000,1,64,25.213
15000,15000,2,64,14.9639
15000,15000,2,64,13.6655
15000,15000,2,64,14.0813
15000,15000,2,64,14.8123
15000,15000,2,64,14.9329
15000,15000,2,64,12.5544
15000,15000,2,64,13.8845
15000,15000,2,64,13.6079
15000,15000,2,64,12.1779
15000,15000,2,64,14.9316
15000,15000,3,64,10.9144
15000,15000,3,64,10.9268
15000,15000,3,64,10.983
15000,15000,3,64,11.1665
15000,15000,3,64,10.4165
15000,15000,3,64,11.3613
15000,15000,3,64,12.7016
15000,15000,3,64,10.8753
15000,15000,3,64,11.0084
15000,15000,3,64,11.0323
15000,15000,4,64,8.25545
15000,15000,4,64,8.41739
15000,15000,4,64,8.30805
15000,15000,4,64,8.48514
15000,15000,4,64,8.49601
15000,15000,4,64,8.43537
15000,15000,4,64,8.4503
15000,15000,4,64,8.32416
15000,15000,4,64,8.16685
15000,15000,4,64,8.59001
15000,15000,5,64,6.46899
15000,15000,5,64,6.20937
15000,15000,5,64,6.23542
15000,15000,5,64,6.20414
15000,15000,5,64,6.13038
15000,15000,5,64,6.54552
15000,15000,5,64,6.36174
15000,15000,5,64,6.27553
15000,15000,5,64,7.25812
15000,15000,5,64,6.4243
15000,15000,6,64,4.29083
15000,15000,6,64,3.4477
15000,15000,6,64,4.27437
15000,15000,6,64,4.3022
15000,15000,6,64,3.56005
15000,15000,6,64,4.54858
15000,15000,6,64,3.49101
15000,15000,6,64,3.47724
15000,15000,6,64,4.43029
15000,15000,6,64,4.10031
