Kx,Ky,mpi_tasks,n_threads,time
10000,10000,1,1,258.866
10000,10000,1,1,258.871
10000,10000,1,1,258.149
10000,10000,1,1,258.321
10000,10000,1,1,257.984
10000,10000,1,1,258.069
10000,10000,1,1,258.136
10000,10000,1,1,258.185
10000,10000,1,1,258.065
10000,10000,1,1,257.886
10000,10000,64,1,12.7571
10000,10000,64,1,11.9116
10000,10000,64,1,12.4544
10000,10000,64,1,12.4633
10000,10000,64,1,11.9195
10000,10000,64,1,11.9291
10000,10000,64,1,11.9698
10000,10000,64,1,12.5025
10000,10000,64,1,12.008
10000,10000,64,1,12.425
10000,10000,128,1,10.0566
10000,10000,128,1,10.0296
10000,10000,128,1,10.2941
10000,10000,128,1,10.1723
10000,10000,128,1,10.1114
10000,10000,128,1,9.91581
10000,10000,192,1,9.07731
10000,10000,192,1,9.3479
10000,10000,192,1,9.15369
10000,10000,192,1,8.95891
10000,10000,192,1,9.08972
10000,10000,192,1,9.33099
10000,10000,192,1,9.32972
10000,10000,192,1,9.12019
10000,10000,192,1,9.17688
10000,10000,192,1,9.37277
10000,10000,256,1,8.69423
10000,10000,256,1,8.89529
10000,10000,256,1,8.81797
10000,10000,256,1,9.17387
10000,10000,256,1,9.19027
10000,10000,256,1,8.68767
10000,10000,256,1,8.72871
10000,10000,256,1,8.69327
10000,10000,256,1,9.22854
10000,10000,256,1,8.6469
10000,10000,320,1,10.8536
10000,10000,320,1,10.7844
10000,10000,320,1,10.7315
10000,10000,320,1,10.9449
10000,10000,320,1,10.8968
10000,10000,320,1,10.5157
10000,10000,320,1,10.3842
10000,10000,320,1,10.3073
10000,10000,320,1,10.4447
10000,10000,320,1,10.4357
10000,10000,384,1,8.77011
10000,10000,384,1,8.50638
10000,10000,384,1,8.35662
10000,10000,384,1,10.3699
10000,10000,384,1,8.53864
10000,10000,384,1,9.24204
10000,10000,384,1,8.59447
10000,10000,384,1,8.55161
10000,10000,384,1,8.3979
10000,10000,384,1,8.39297
15000,15000,1,1,581.371
15000,15000,1,1,581.759
15000,15000,1,1,581.41
15000,15000,1,1,581.046
15000,15000,1,1,581.552
15000,15000,1,1,580.73
15000,15000,1,1,581.055
15000,15000,1,1,581.27
15000,15000,1,1,581.338
15000,15000,1,1,581.583
15000,15000,64,1,27.2017
15000,15000,64,1,28.8242
15000,15000,64,1,28.0592
15000,15000,64,1,27.3942
15000,15000,64,1,27.5569
15000,15000,64,1,27.855
15000,15000,64,1,27.2255
15000,15000,64,1,28.149
15000,15000,64,1,27.7342
15000,15000,64,1,27.612
15000,15000,128,1,22.6402
15000,15000,128,1,23.9298
15000,15000,128,1,24.1787
15000,15000,128,1,24.8354
15000,15000,128,1,22.658
15000,15000,128,1,26.0097
15000,15000,128,1,23.3346
15000,15000,128,1,29.9321
15000,15000,128,1,32.9851
15000,15000,128,1,22.9527
15000,15000,192,1,19.9617
15000,15000,192,1,20.9621
15000,15000,192,1,20.4903
15000,15000,192,1,20.2017
15000,15000,192,1,20.5696
15000,15000,192,1,21.6903
15000,15000,192,1,20.8384
15000,15000,192,1,21.607
15000,15000,192,1,21.119
15000,15000,192,1,20.3432
15000,15000,256,1,24.5342
15000,15000,256,1,25.1902
15000,15000,256,1,25.1171
15000,15000,256,1,24.3695
15000,15000,256,1,25.2806
15000,15000,256,1,25.0421
15000,15000,256,1,24.9662
15000,15000,256,1,24.401
15000,15000,256,1,26.0133
15000,15000,256,1,25.3763
15000,15000,320,1,28.315
15000,15000,320,1,29.4607
15000,15000,320,1,28.7031
15000,15000,320,1,28.6657
15000,15000,320,1,29.1061
15000,15000,320,1,29.1711
15000,15000,320,1,29.6948
15000,15000,320,1,30.3532
15000,15000,320,1,31.5537
15000,15000,320,1,29.1771
15000,15000,384,1,19.017
15000,15000,384,1,18.91
15000,15000,384,1,19.2709
15000,15000,384,1,19.5742
15000,15000,384,1,19.6988
15000,15000,384,1,18.9737
15000,15000,384,1,19.7767
15000,15000,384,1,18.8484
15000,15000,384,1,18.8312
15000,15000,384,1,18.7144
